sales_outlet_id,transaction_date,product_id,start_of_day,quantity_sold,waste,% waste
3,4/1/2019,69,18,8,10,56%
3,4/1/2019,70,18,12,6,33%
3,4/1/2019,71,18,8,10,56%
3,4/1/2019,72,48,9,39,81%
3,4/1/2019,73,18,9,9,50%
3,4/2/2019,69,18,7,11,61%
3,4/2/2019,70,18,10,8,44%
3,4/2/2019,71,18,10,8,44%
3,4/2/2019,72,48,10,38,79%
3,4/2/2019,73,18,9,9,50%
3,4/3/2019,69,18,8,10,56%
3,4/3/2019,70,18,5,13,72%
3,4/3/2019,71,18,4,14,78%
3,4/3/2019,72,48,9,39,81%
3,4/3/2019,73,18,15,3,17%
3,4/4/2019,69,18,10,8,44%
3,4/4/2019,70,18,9,9,50%
3,4/4/2019,71,18,10,8,44%
3,4/4/2019,72,48,10,38,79%
3,4/4/2019,73,18,9,9,50%
3,4/5/2019,69,18,0,0,0
3,4/6/2019,69,18,14,4,22%
3,4/6/2019,70,18,11,7,39%
3,4/6/2019,71,18,13,5,28%
3,4/6/2019,72,48,23,25,52%
3,4/6/2019,73,18,9,9,50%
3,4/7/2019,69,18,6,12,67%
3,4/7/2019,70,18,3,15,83%
3,4/7/2019,71,18,3,15,83%
3,4/7/2019,72,48,11,37,77%
3,4/7/2019,73,18,3,15,83%
3,4/8/2019,69,18,12,6,33%
3,4/8/2019,70,18,11,7,39%
3,4/8/2019,71,18,14,4,22%
3,4/8/2019,72,48,8,40,90%
3,4/8/2019,73,18,6,12,67%
3,4/9/2019,69,18,4,14,78%
3,4/9/2019,70,18,7,11,61%
3,4/9/2019,71,18,8,10,56%
3,4/9/2019,72,48,6,42,88%
3,4/10/2019,69,18,5,13,72%
3,4/10/2019,70,18,7,11,61%
3,4/10/2019,71,18,10,8,44%
3,4/10/2019,72,48,7,41,90%
3,4/10/2019,73,18,6,12,67%
3,4/11/2019,69,18,6,12,67%
3,4/11/2019,70,18,4,14,78%
3,4/11/2019,71,18,12,6,33%
3,4/11/2019,72,48,8,40,94%
3,4/11/2019,73,18,3,15,83%
3,4/12/2019,69,18,11,7,39%
3,4/12/2019,70,18,6,12,67%
3,4/12/2019,71,18,5,13,72%
3,4/12/2019,72,48,9,39,90%
3,4/12/2019,73,18,6,12,67%
3,4/13/2019,69,18,9,9,50%
3,4/13/2019,70,18,3,15,83%
3,4/13/2019,71,18,9,9,50%
3,4/13/2019,72,48,8,40,92%
3,4/13/2019,73,18,11,7,39%
3,4/14/2019,72,48,8,44,92%
3,4/14/2019,69,18,8,10,56%
3,4/14/2019,70,18,12,6,33%
3,4/14/2019,71,18,8,10,56%
3,4/14/2019,73,18,9,9,50%
3,4/15/2019,69,18,7,11,61%
3,4/15/2019,70,18,10,8,44%
3,4/15/2019,71,18,10,8,44%
3,4/15/2019,72,48,10,38,79%
3,4/15/2019,73,18,9,9,50%
3,4/16/2019,69,18,8,10,56%
3,4/16/2019,70,18,5,13,72%
3,4/16/2019,71,18,4,14,78%
3,4/16/2019,72,48,9,39,81%
3,4/16/2019,73,18,15,3,17%
3,4/17/2019,69,18,10,8,44%
3,4/17/2019,70,18,9,9,50%
3,4/17/2019,71,18,10,8,44%
3,4/17/2019,72,48,10,38,79%
3,4/17/2019,73,18,9,9,50%
3,4/18/2019,69,18,0,0,0
3,4/18/2019,72,48,23,25,52%
3,4/19/2019,69,18,14,4,22%
3,4/19/2019,70,18,11,7,39%
3,4/19/2019,71,18,13,5,28%
3,4/19/2019,72,48,23,25,52%
3,4/19/2019,73,18,9,9,50%
3,4/20/2019,69,18,6,12,67%
3,4/20/2019,70,18,3,15,83%
3,4/20/2019,71,18,3,15,83%
3,4/20/2019,72,48,24,24,77%
3,4/20/2019,73,18,3,15,83%
3,4/21/2019,69,18,6,12,67%
3,4/21/2019,70,18,3,15,83%
3,4/21/2019,71,18,3,15,83%
3,4/21/2019,72,48,22,26,77%
3,4/21/2019,73,18,3,15,83%
5,4/7/2019,69,18,4,14,78%
5,4/7/2019,70,18,7,11,61%
5,4/7/2019,71,18,8,10,56%
5,4/7/2019,72,48,10,38,83%
5,4/7/2019,73,18,5,13,72%
5,4/8/2019,69,18,7,11,61%
5,4/8/2019,70,18,5,13,72%
5,4/8/2019,71,18,8,10,56%
5,4/8/2019,72,48,9,39,81%
5,4/8/2019,73,18,3,15,83%
5,4/9/2019,69,18,6,12,67%
5,4/9/2019,70,18,7,11,61%
5,4/9/2019,71,18,7,11,61%
5,4/9/2019,72,48,10,38,79%
5,4/9/2019,73,18,1,17,94%
5,4/10/2019,69,18,4,14,78%
5,4/10/2019,70,18,4,14,78%
5,4/10/2019,71,18,8,10,56%
5,4/10/2019,72,48,8,40,83%
5,4/10/2019,73,18,8,10,56%
5,4/11/2019,69,18,11,7,39%
5,4/11/2019,70,18,9,9,50%
5,4/11/2019,71,18,6,12,67%
5,4/11/2019,72,48,9,39,81%
5,4/11/2019,73,18,7,11,61%
5,4/12/2019,69,18,8,10,56%
5,4/12/2019,70,18,7,11,61%
5,4/12/2019,71,18,13,5,28%
5,4/12/2019,72,48,14,34,71%
5,4/12/2019,73,18,18,0,0%
5,4/13/2019,69,18,11,7,39%
5,4/13/2019,70,18,8,10,56%
5,4/13/2019,71,18,11,7,39%
5,4/13/2019,72,48,8,40,83%
5,4/13/2019,73,18,12,6,33%
5,4/14/2019,69,18,14,4,22%
5,4/14/2019,70,18,10,8,44%
5,4/14/2019,71,18,10,8,44%
5,4/14/2019,72,48,5,43,90%
5,4/14/2019,73,18,15,3,17%
5,4/15/2019,69,18,7,11,61%
5,4/15/2019,70,18,6,12,67%
5,4/15/2019,71,18,8,10,56%
5,4/15/2019,72,48,8,40,83%
5,4/15/2019,73,18,11,7,39%
5,4/16/2019,69,18,11,7,39%
5,4/16/2019,70,18,9,9,50%
5,4/16/2019,71,18,15,3,17%
5,4/16/2019,72,48,4,44,92%
5,4/16/2019,73,18,3,15,83%
5,4/17/2019,69,18,12,6,33%
5,4/17/2019,70,18,6,12,67%
5,4/17/2019,71,18,13,5,28%
5,4/17/2019,72,48,3,45,94%
5,4/17/2019,73,18,8,10,56%
5,4/18/2019,69,18,10,8,44%
5,4/18/2019,70,18,8,10,56%
5,4/18/2019,71,18,3,15,83%
5,4/18/2019,72,48,4,44,92%
5,4/18/2019,73,18,6,12,67%
5,4/19/2019,69,18,4,14,78%
5,4/19/2019,70,18,6,12,67%
5,4/19/2019,71,18,3,15,83%
5,4/19/2019,72,48,4,44,92%
5,4/19/2019,73,18,5,13,72%
5,4/20/2019,69,18,11,7,39%
5,4/20/2019,70,18,17,1,6%
5,4/20/2019,71,18,6,12,67%
5,4/20/2019,72,48,24,24,50%
5,4/20/2019,73,18,10,8,44%
5,4/21/2019,69,18,10,8,44%
5,4/21/2019,70,18,7,11,61%
5,4/21/2019,71,18,12,6,33%
5,4/21/2019,72,48,20,28,58%
5,4/21/2019,73,18,8,10,56%
5,4/22/2019,69,18,5,13,72%
5,4/22/2019,70,18,8,10,56%
5,4/22/2019,71,18,4,14,78%
5,4/22/2019,72,48,23,25,52%
5,4/22/2019,73,18,14,4,22%
5,4/23/2019,69,18,7,11,61%
5,4/23/2019,70,18,4,14,78%
5,4/23/2019,71,18,7,11,61%
5,4/23/2019,72,48,16,32,67%
5,4/23/2019,73,18,6,12,67%
5,4/24/2019,69,18,8,10,56%
5,4/24/2019,70,18,13,5,28%
5,4/24/2019,71,18,5,13,72%
5,4/24/2019,72,48,21,27,56%
5,4/24/2019,73,18,7,11,61%
5,4/25/2019,69,18,6,12,67%
5,4/25/2019,70,18,5,13,72%
5,4/25/2019,71,18,9,9,50%
5,4/25/2019,72,48,22,26,54%
5,4/25/2019,73,18,8,10,56%
5,4/26/2019,69,18,7,11,61%
5,4/26/2019,70,18,9,9,50%
5,4/26/2019,71,18,7,11,61%
5,4/26/2019,72,48,21,27,56%
5,4/26/2019,73,18,4,14,78%
5,4/27/2019,69,18,5,13,72%
5,4/27/2019,70,18,8,10,56%
5,4/27/2019,71,18,6,12,67%
5,4/27/2019,72,48,18,30,63%
5,4/27/2019,73,18,10,8,44%
8,4/7/2019,69,18,10,8,44%
8,4/7/2019,70,18,15,3,17%
8,4/7/2019,71,18,9,9,50%
8,4/7/2019,72,48,1,47,92%
8,4/7/2019,73,18,9,9,50%
8,4/8/2019,69,18,5,13,72%
8,4/8/2019,70,18,8,10,56%
8,4/8/2019,71,18,11,7,39%
8,4/8/2019,72,48,3,45,94%
8,4/8/2019,73,18,8,10,56%
8,4/9/2019,69,18,8,10,56%
8,4/9/2019,70,18,7,11,61%
8,4/9/2019,71,18,11,7,39%
8,4/9/2019,72,48,4,44,92%
8,4/9/2019,73,18,5,13,72%
8,4/10/2019,69,18,12,6,33%
8,4/10/2019,70,18,9,9,50%
8,4/10/2019,71,18,6,12,67%
8,4/10/2019,72,48,3,45,88%
8,4/10/2019,73,18,13,5,28%
8,4/11/2019,69,18,15,3,17%
8,4/11/2019,70,18,14,4,22%
8,4/11/2019,71,18,15,3,17%
8,4/11/2019,72,48,2,46,88%
8,4/11/2019,73,18,6,12,67%
8,4/12/2019,69,18,11,7,39%
8,4/12/2019,70,18,8,10,56%
8,4/12/2019,71,18,8,10,56%
8,4/12/2019,72,48,4,44,92%
8,4/12/2019,73,18,5,13,72%
8,4/13/2019,69,18,4,14,78%
8,4/13/2019,70,18,9,9,50%
8,4/13/2019,71,18,9,9,50%
8,4/13/2019,72,48,2,46,96%
8,4/13/2019,73,18,9,9,50%
8,4/14/2019,69,18,18,0,0%
8,4/14/2019,70,18,16,2,11%
8,4/14/2019,71,18,17,1,6%
8,4/14/2019,72,48,5,43,90%
8,4/14/2019,73,18,12,6,33%
8,4/15/2019,69,18,5,13,72%
8,4/15/2019,70,18,15,3,17%
8,4/15/2019,71,18,10,8,44%
8,4/15/2019,72,48,23,25,67%
8,4/15/2019,73,18,10,8,44%
8,4/16/2019,69,18,9,9,50%
8,4/16/2019,70,18,9,9,50%
8,4/16/2019,71,18,5,13,72%
8,4/16/2019,72,48,29,19,71%
8,4/16/2019,73,18,9,9,50%
8,4/17/2019,69,18,6,12,67%
8,4/17/2019,70,18,5,13,72%
8,4/17/2019,71,18,12,6,33%
8,4/17/2019,72,48,27,21,73%
8,4/17/2019,73,18,9,9,50%
8,4/18/2019,69,18,6,12,67%
8,4/18/2019,70,18,9,9,50%
8,4/18/2019,71,18,9,9,50%
8,4/18/2019,72,48,30,18,69%
8,4/18/2019,73,18,9,9,50%
8,4/19/2019,69,18,10,8,44%
8,4/19/2019,70,18,11,7,39%
8,4/19/2019,71,18,9,9,50%
8,4/19/2019,72,48,28,20,54%
8,4/19/2019,73,18,9,9,50%
8,4/20/2019,69,18,6,12,67%
8,4/20/2019,70,18,4,14,78%
8,4/20/2019,71,18,8,10,56%
8,4/20/2019,72,48,32,16,85%
8,4/20/2019,73,18,6,12,67%
8,4/21/2019,69,18,6,12,67%
8,4/21/2019,70,18,5,13,72%
8,4/21/2019,71,18,16,2,11%
8,4/21/2019,72,48,31,17,58%
8,4/21/2019,73,18,9,9,50%
8,4/22/2019,69,18,16,2,11%
8,4/22/2019,70,18,12,6,33%
8,4/22/2019,71,18,3,15,83%
8,4/22/2019,72,48,10,38,79%
8,4/22/2019,73,18,7,11,61%
8,4/23/2019,69,18,11,7,39%
8,4/23/2019,70,18,10,8,44%
8,4/23/2019,71,18,4,14,78%
8,4/23/2019,72,48,21,27,56%
8,4/23/2019,73,18,7,11,61%
8,4/24/2019,69,18,7,11,61%
8,4/24/2019,70,18,12,6,33%
8,4/24/2019,71,18,9,9,50%
8,4/24/2019,72,48,18,30,63%
8,4/24/2019,73,18,5,13,72%
8,4/25/2019,69,18,10,8,44%
8,4/25/2019,70,18,4,14,78%
8,4/25/2019,71,18,13,5,28%
8,4/25/2019,72,48,22,26,54%
8,4/25/2019,73,18,10,8,44%
8,4/26/2019,69,18,10,8,44%
8,4/26/2019,70,18,12,6,33%
8,4/26/2019,71,18,7,11,61%
8,4/26/2019,72,48,18,30,63%
8,4/26/2019,73,18,7,11,61%
8,4/27/2019,69,18,1,17,94%
8,4/27/2019,70,18,4,14,78%
8,4/27/2019,71,18,2,16,89%
8,4/27/2019,72,48,19,29,60%
8,4/27/2019,73,18,4,14,78%
